2022-09-21 19:12:56,918 INFO  [main] o.s.b.t.a.w.s.WebMvcTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [market.controller.backend.BackendControllerTest], using SpringBootContextLoader
2022-09-21 19:12:57,619 WARN  [main] o.s.b.c.c.ConfigDataEnvironment - Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 24:13]
2022-09-21 19:12:59,049 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-09-21 19:12:59,177 INFO  [main] o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2022-09-21 19:12:59,545 INFO  [main] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 74fdb4c0-53cf-4b0d-9297-236a0e114699

2022-09-21 19:12:59,765 INFO  [main] o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@22ae905f, org.springframework.security.web.context.SecurityContextPersistenceFilter@32e5af53, org.springframework.security.web.header.HeaderWriterFilter@733534f9, org.springframework.security.web.csrf.CsrfFilter@987a0bb, org.springframework.security.web.authentication.logout.LogoutFilter@4567fb2b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@38f617f4, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@173511ff, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@748904e8, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@10e56da9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5be4be74, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@27bcb4ad, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4fbaa7f5, org.springframework.security.web.session.SessionManagementFilter@38de5daf, org.springframework.security.web.access.ExceptionTranslationFilter@112c2930, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@f03ee8f]
2022-09-21 19:12:59,864 INFO  [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-09-21 19:12:59,864 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2022-09-21 19:12:59,865 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2022-09-21 19:12:59,892 INFO  [main] m.c.b.BackendControllerTest - Started BackendControllerTest in 2.74 seconds (JVM running for 4.273)
2022-09-21 19:13:00,229 INFO  [main] o.s.m.w.MockServletContext - Initializing Spring TestDispatcherServlet ''
2022-09-21 19:13:00,229 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2022-09-21 19:13:00,229 INFO  [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2022-09-21 19:13:00,310 INFO  [SpringContextShutdownHook] o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
